timestamp,cache_hits,cache_misses,hit_rate_pct
2026-01-06T00:00:00Z,78633,14349,84.57
2026-01-06T01:00:00Z,63550,11373,84.82
2026-01-06T02:00:00Z,60521,10189,85.59
2026-01-06T03:00:00Z,43958,8377,83.99
2026-01-06T04:00:00Z,43422,8129,84.23
2026-01-06T05:00:00Z,429779,29557,93.56
2026-01-06T06:00:00Z,31583,6992,81.87
2026-01-06T07:00:00Z,24221,6476,78.91
2026-01-06T08:00:00Z,17340,5582,75.64
2026-01-06T09:00:00Z,15860,5519,74.19
2026-01-06T10:00:00Z,16845,5817,74.33
2026-01-06T11:00:00Z,526698,15765,97.09
2026-01-06T12:00:00Z,132763,20548,86.60
2026-01-06T13:00:00Z,447670,80126,84.82
2026-01-06T14:00:00Z,1347093,354884,79.15
2026-01-06T15:00:00Z,201920,28614,87.59
2026-01-06T16:00:00Z,199645,32058,86.17
2026-01-06T17:00:00Z,255507,40402,86.35
2026-01-06T18:00:00Z,258257,40237,86.52
2026-01-06T19:00:00Z,196249,28244,87.42
2026-01-06T20:00:00Z,167307,24068,87.42
2026-01-06T21:00:00Z,121727,18157,87.01
2026-01-06T22:00:00Z,101421,15265,86.92
2026-01-06T23:00:00Z,82861,12736,86.68
2026-01-07T00:00:00Z,78390,12726,86.03
2026-01-07T01:00:00Z,57005,9425,85.81
2026-01-07T02:00:00Z,46371,7949,85.37
2026-01-07T03:00:00Z,50581,8051,86.28
2026-01-07T04:00:00Z,38276,7263,84.05
2026-01-07T05:00:00Z,442125,30252,93.60
2026-01-07T06:00:00Z,30310,6589,82.14
2026-01-07T07:00:00Z,303939,9486,96.97
2026-01-07T08:00:00Z,47030,7840,85.71
2026-01-07T09:00:00Z,24876,7706,76.35
2026-01-07T10:00:00Z,23791,6680,78.08
2026-01-07T11:00:00Z,484641,13598,97.27
2026-01-07T12:00:00Z,156157,19635,88.83
2026-01-07T13:00:00Z,549860,60569,90.08
2026-01-07T14:00:00Z,1449796,366647,79.82
2026-01-07T15:00:00Z,266917,29078,90.18
2026-01-07T16:00:00Z,258879,32993,88.69
2026-01-07T17:00:00Z,338500,41165,89.16
2026-01-07T18:00:00Z,371110,42079,89.82
2026-01-07T19:00:00Z,267754,26470,91.00
2026-01-07T20:00:00Z,179549,20753,89.64
2026-01-07T21:00:00Z,152693,18224,89.34
2026-01-07T22:00:00Z,114480,14865,88.50
2026-01-07T23:00:00Z,112337,13947,88.95
2026-01-08T00:00:00Z,74105,10591,87.50
2026-01-08T01:00:00Z,48548,7746,86.24
2026-01-08T02:00:00Z,61396,8805,87.46
2026-01-08T03:00:00Z,49855,7628,86.73
2026-01-08T04:00:00Z,46306,7302,86.38
2026-01-08T05:00:00Z,668091,47152,93.41
2026-01-08T06:00:00Z,26403,6548,80.13
2026-01-08T07:00:00Z,17453,5669,75.49
2026-01-08T08:00:00Z,23390,6588,78.03
2026-01-08T09:00:00Z,16310,5487,74.83
2026-01-08T10:00:00Z,21177,6296,77.08
2026-01-08T11:00:00Z,485902,13020,97.39
2026-01-08T12:00:00Z,111603,19822,84.91
2026-01-08T13:00:00Z,1803453,257641,87.50
2026-01-08T14:00:00Z,1096420,230860,82.61
2026-01-08T15:00:00Z,207492,35935,85.24
2026-01-08T16:00:00Z,238159,43054,84.68
2026-01-08T17:00:00Z,286598,53666,84.23
2026-01-08T18:00:00Z,289168,55504,83.90
2026-01-08T19:00:00Z,229005,38559,85.59
2026-01-08T20:00:00Z,176144,30265,85.34
2026-01-08T21:00:00Z,133727,23759,84.92
2026-01-08T22:00:00Z,101829,18197,84.84
2026-01-08T23:00:00Z,79178,14661,84.38
2026-01-09T00:00:00Z,62715,12352,83.55
2026-01-09T01:00:00Z,47208,9889,82.67
2026-01-09T02:00:00Z,42221,8763,82.81
2026-01-09T03:00:00Z,48857,9115,84.27
2026-01-09T04:00:00Z,34168,7529,81.94
2026-01-09T05:00:00Z,389498,28670,93.14
2026-01-09T06:00:00Z,26647,6516,80.35
2026-01-09T07:00:00Z,27073,6504,80.63
2026-01-09T08:00:00Z,17550,6009,74.49
2026-01-09T09:00:00Z,20653,6228,76.83
2026-01-09T10:00:00Z,15153,5527,73.27
2026-01-09T11:00:00Z,499418,10882,97.87
2026-01-09T12:00:00Z,137194,21926,86.22
2026-01-09T13:00:00Z,265525,41862,86.38
2026-01-09T14:00:00Z,1271134,274995,82.22
2026-01-09T15:00:00Z,225753,34058,86.89
2026-01-09T16:00:00Z,203005,34192,85.58
2026-01-09T17:00:00Z,235542,38215,86.04
2026-01-09T18:00:00Z,242856,41140,85.51
2026-01-09T19:00:00Z,173500,26157,86.90
2026-01-09T20:00:00Z,180471,27895,86.61
2026-01-09T21:00:00Z,126075,19450,86.63
2026-01-09T22:00:00Z,93377,15936,85.42
2026-01-09T23:00:00Z,75049,13332,84.92
2026-01-10T00:00:00Z,65176,11557,84.94
2026-01-10T01:00:00Z,53027,9600,84.68
2026-01-10T02:00:00Z,42098,7505,84.87
2026-01-10T03:00:00Z,43138,7943,84.45
2026-01-10T04:00:00Z,42173,7946,84.15
2026-01-10T05:00:00Z,383059,24322,94.03
2026-01-10T06:00:00Z,20067,6057,76.81
2026-01-10T07:00:00Z,24936,6342,79.71
2026-01-10T08:00:00Z,16635,5676,74.56
2026-01-10T09:00:00Z,12595,5178,70.87
2026-01-10T10:00:00Z,16156,5608,74.23
2026-01-10T11:00:00Z,487198,12267,97.55
2026-01-10T12:00:00Z,46152,10188,81.91
2026-01-10T13:00:00Z,97917,17297,84.99
2026-01-10T14:00:00Z,1088918,171553,86.38
2026-01-10T15:00:00Z,191525,28307,87.12
2026-01-10T16:00:00Z,199765,31232,86.47
2026-01-10T17:00:00Z,208088,32019,86.66
2026-01-10T18:00:00Z,182375,27282,86.99
2026-01-10T19:00:00Z,157217,24330,86.60
2026-01-10T20:00:00Z,121809,20123,85.82
2026-01-10T21:00:00Z,88064,15321,85.18
2026-01-10T22:00:00Z,93214,16498,84.96
2026-01-10T23:00:00Z,74833,13177,85.03
2026-01-11T00:00:00Z,49571,9882,83.38
2026-01-11T01:00:00Z,45439,8794,83.78
2026-01-11T02:00:00Z,50786,8580,85.55
2026-01-11T03:00:00Z,36600,7348,83.28
2026-01-11T04:00:00Z,33500,7170,82.37
2026-01-11T05:00:00Z,394776,24686,94.11
2026-01-11T06:00:00Z,24369,6428,79.13
2026-01-11T07:00:00Z,16065,5523,74.41
2026-01-11T08:00:00Z,14096,5584,71.63
2026-01-11T09:00:00Z,13849,5088,73.14
2026-01-11T10:00:00Z,10151,5154,66.33
2026-01-11T11:00:00Z,486505,11932,97.61
2026-01-11T12:00:00Z,37484,8677,81.21
2026-01-11T13:00:00Z,80863,14897,84.44
2026-01-11T14:00:00Z,1078279,127356,89.44
2026-01-11T15:00:00Z,151482,23976,86.33
2026-01-11T16:00:00Z,162512,25870,86.27
2026-01-11T17:00:00Z,202403,30783,86.80
2026-01-11T18:00:00Z,175250,26777,86.74
2026-01-11T19:00:00Z,186006,28551,86.69
2026-01-11T20:00:00Z,153220,25456,85.76
2026-01-11T21:00:00Z,139077,21733,86.48
2026-01-11T22:00:00Z,90004,15517,85.29
2026-01-11T23:00:00Z,80736,12923,86.20
2026-01-12T00:00:00Z,50548,9492,84.19
2026-01-12T01:00:00Z,48080,8526,84.95
2026-01-12T02:00:00Z,46529,8391,84.72
2026-01-12T03:00:00Z,59277,8952,86.87
2026-01-12T04:00:00Z,48949,8253,85.57
2026-01-12T05:00:00Z,391985,23241,94.40
2026-01-12T06:00:00Z,21799,6141,78.02
2026-01-12T07:00:00Z,16147,5579,74.32
2026-01-12T08:00:00Z,12239,5189,70.22
2026-01-12T09:00:00Z,15912,5496,74.32
2026-01-12T10:00:00Z,12433,5386,69.77
2026-01-12T11:00:00Z,502386,12942,97.49
2026-01-12T12:00:00Z,101636,17573,85.26
2026-01-12T13:00:00Z,1650460,265859,86.13
2026-01-12T14:00:00Z,1149542,127090,90.04
2026-01-12T15:00:00Z,169295,25995,86.69
2026-01-12T16:00:00Z,178746,33074,84.38
2026-01-12T17:00:00Z,189439,34272,84.68
2026-01-12T18:00:00Z,204399,36953,84.69
2026-01-12T19:00:00Z,163117,25322,86.56
2026-01-12T20:00:00Z,124384,20435,85.89
2026-01-12T21:00:00Z,96870,16575,85.39
2026-01-12T22:00:00Z,69127,12310,84.88
2026-01-12T23:00:00Z,58869,11623,83.51
2026-01-13T00:00:00Z,48144,9713,83.21
2026-01-13T01:00:00Z,43126,8333,83.81
2026-01-13T02:00:00Z,100931,7284,93.27
2026-01-13T03:00:00Z,68980,7528,90.16
2026-01-13T04:00:00Z,28834,7091,80.26
2026-01-13T05:00:00Z,385506,24253,94.08
2026-01-13T06:00:00Z,21781,6219,77.79
2026-01-13T07:00:00Z,12992,5801,69.14
2026-01-13T08:00:00Z,11075,5207,68.03
2026-01-13T09:00:00Z,13520,5388,71.50
2026-01-13T10:00:00Z,14994,5471,73.27
2026-01-13T11:00:00Z,507148,12154,97.66
2026-01-13T12:00:00Z,118872,16439,87.85
2026-01-13T13:00:00Z,244612,31822,88.49
2026-01-13T14:00:00Z,1304548,393486,76.82
2026-01-13T15:00:00Z,188508,23531,88.90
2026-01-13T16:00:00Z,156199,24708,86.35
2026-01-13T17:00:00Z,231588,34258,87.11
2026-01-13T18:00:00Z,237433,35953,86.85
2026-01-13T19:00:00Z,166357,21416,88.60
2026-01-13T20:00:00Z,156393,20447,88.44
2026-01-13T21:00:00Z,108998,15809,87.34
2026-01-13T22:00:00Z,77311,12028,86.53
2026-01-13T23:00:00Z,61235,9836,86.16
2026-01-14T00:00:00Z,48687,8934,84.50
2026-01-14T01:00:00Z,33160,6907,82.76
2026-01-14T02:00:00Z,34448,6840,83.43
2026-01-14T03:00:00Z,31515,6510,82.88
2026-01-14T04:00:00Z,35264,6694,84.05
2026-01-14T05:00:00Z,390627,24180,94.17
2026-01-14T06:00:00Z,23506,5886,79.97
2026-01-14T07:00:00Z,304450,7809,97.50
2026-01-14T08:00:00Z,15009,5145,74.47
2026-01-14T09:00:00Z,15721,5225,75.05
2026-01-14T10:00:00Z,10281,5311,65.94
2026-01-14T11:00:00Z,513718,12592,97.61
2026-01-14T12:00:00Z,132990,16699,88.85
2026-01-14T13:00:00Z,288332,32595,89.85
2026-01-14T14:00:00Z,1311238,377528,77.64
2026-01-14T15:00:00Z,212445,24261,89.75
2026-01-14T16:00:00Z,183562,25899,87.64
2026-01-14T17:00:00Z,241757,32479,88.15
2026-01-14T18:00:00Z,265478,34897,88.38
2026-01-14T19:00:00Z,196308,22641,89.66
2026-01-14T20:00:00Z,168413,19997,89.38
2026-01-14T21:00:00Z,122371,15807,88.56
2026-01-14T22:00:00Z,84422,11948,87.60
2026-01-14T23:00:00Z,56623,9320,85.87
2026-01-15T00:00:00Z,59663,9073,86.80
2026-01-15T01:00:00Z,41019,7408,84.70
2026-01-15T02:00:00Z,45343,6964,86.69
2026-01-15T03:00:00Z,47421,7277,86.69
2026-01-15T04:00:00Z,36108,6699,84.35
2026-01-15T05:00:00Z,659862,44519,93.68
2026-01-15T06:00:00Z,21257,6095,77.71
2026-01-15T07:00:00Z,20716,5705,78.41
2026-01-15T08:00:00Z,16428,5390,75.29
2026-01-15T09:00:00Z,11217,4863,69.77
2026-01-15T10:00:00Z,10514,4987,67.84
2026-01-15T11:00:00Z,532515,11614,97.87
2026-01-15T12:00:00Z,81778,13032,86.26
2026-01-15T13:00:00Z,187904,28632,86.79
2026-01-15T14:00:00Z,3645274,835121,81.36
2026-01-15T15:00:00Z,302276,44578,87.15
2026-01-15T16:00:00Z,206969,35230,85.45
2026-01-15T17:00:00Z,209368,33559,86.18
2026-01-15T18:00:00Z,275930,44613,86.08
2026-01-15T19:00:00Z,247453,35412,87.48
2026-01-15T20:00:00Z,192948,25919,88.16
2026-01-15T21:00:00Z,121103,18981,86.45
2026-01-15T22:00:00Z,100301,14803,87.14
2026-01-15T23:00:00Z,74383,12140,85.97
2026-01-16T00:00:00Z,65530,10712,85.95
2026-01-16T01:00:00Z,49343,8720,84.98
2026-01-16T02:00:00Z,40561,8214,83.16
2026-01-16T03:00:00Z,38621,7813,83.18
2026-01-16T04:00:00Z,37994,7257,83.96
2026-01-16T05:00:00Z,402073,32902,92.43
2026-01-16T06:00:00Z,22073,5925,78.84
2026-01-16T07:00:00Z,15454,5442,73.96
2026-01-16T08:00:00Z,15358,5681,73.00
2026-01-16T09:00:00Z,10369,5125,66.93
2026-01-16T10:00:00Z,13078,5408,70.74
2026-01-16T11:00:00Z,683982,14433,97.93
2026-01-16T12:00:00Z,32394,7365,81.48
2026-01-16T13:00:00Z,124038,18782,86.85
2026-01-16T14:00:00Z,1250651,270771,82.20
2026-01-16T15:00:00Z,340651,36328,90.36
2026-01-16T16:00:00Z,199274,28706,87.40
2026-01-16T17:00:00Z,161818,26756,85.81
2026-01-16T18:00:00Z,205631,34714,85.56
2026-01-16T19:00:00Z,189845,30396,86.19
2026-01-16T20:00:00Z,150119,22864,86.78
2026-01-16T21:00:00Z,130263,19806,86.80
2026-01-16T22:00:00Z,119245,18498,86.57
2026-01-16T23:00:00Z,83384,13597,85.98
2026-01-17T00:00:00Z,80941,12936,86.22
2026-01-17T01:00:00Z,48818,9000,84.44
2026-01-17T02:00:00Z,39687,7249,84.56
2026-01-17T03:00:00Z,29309,6481,81.90
2026-01-17T04:00:00Z,33072,6668,83.23
2026-01-17T05:00:00Z,31053,6498,82.70
2026-01-17T06:00:00Z,466366,15805,96.72
2026-01-17T07:00:00Z,16987,5360,76.01
2026-01-17T08:00:00Z,13890,5265,72.51
2026-01-17T09:00:00Z,10345,4982,67.49
2026-01-17T10:00:00Z,9117,4849,65.27
2026-01-17T11:00:00Z,6463,4734,57.73
2026-01-17T12:00:00Z,636237,11842,98.17
2026-01-17T13:00:00Z,41250,8804,82.41
2026-01-17T14:00:00Z,68580,12843,84.23
2026-01-17T15:00:00Z,1049882,138206,88.37
2026-01-17T16:00:00Z,139644,21486,86.66
2026-01-17T17:00:00Z,171950,23598,87.93
2026-01-17T18:00:00Z,141916,21744,86.72
2026-01-17T19:00:00Z,120913,18833,86.53
2026-01-17T20:00:00Z,141313,21018,87.05
2026-01-17T21:00:00Z,139729,21138,86.86
2026-01-17T22:00:00Z,142609,21081,87.12
2026-01-17T23:00:00Z,78142,13677,85.11
2026-01-18T00:00:00Z,68156,11840,85.20
2026-01-18T01:00:00Z,49124,9430,83.90
2026-01-18T02:00:00Z,35168,7804,81.84
2026-01-18T03:00:00Z,32599,7044,82.23
2026-01-18T04:00:00Z,28684,6553,81.40
2026-01-18T05:00:00Z,26625,6163,81.21
2026-01-18T06:00:00Z,494890,12767,97.49
2026-01-18T07:00:00Z,23190,6128,79.10
2026-01-18T08:00:00Z,14513,5495,72.53
2026-01-18T09:00:00Z,10738,4975,68.34
2026-01-18T10:00:00Z,10917,4913,68.97
2026-01-18T11:00:00Z,8576,5038,63.00
2026-01-18T12:00:00Z,636588,12124,98.13
2026-01-18T13:00:00Z,18678,6168,75.18
2026-01-18T14:00:00Z,37145,8757,80.93
2026-01-18T15:00:00Z,1040948,100314,91.21
2026-01-18T16:00:00Z,120158,18134,86.88
2026-01-18T17:00:00Z,147353,22574,86.72
2026-01-18T18:00:00Z,137610,21111,86.70
2026-01-18T19:00:00Z,142370,21195,87.04
2026-01-18T20:00:00Z,136123,20807,86.74
2026-01-18T21:00:00Z,130261,19789,86.81
2026-01-18T22:00:00Z,118284,19067,86.12
2026-01-18T23:00:00Z,90540,15380,85.48
2026-01-19T00:00:00Z,68178,12110,84.92
2026-01-19T01:00:00Z,53222,9452,84.93
2026-01-19T02:00:00Z,40052,7810,83.69
2026-01-19T03:00:00Z,34580,6926,83.32
2026-01-19T04:00:00Z,30641,6478,82.55
2026-01-19T05:00:00Z,32938,6750,82.99
2026-01-19T06:00:00Z,84047,12794,86.79
2026-01-19T07:00:00Z,454930,16938,96.41
2026-01-19T08:00:00Z,17136,5618,75.31
2026-01-19T09:00:00Z,12640,5286,70.52
2026-01-19T10:00:00Z,8180,4899,62.55
2026-01-19T11:00:00Z,12902,5965,68.39
2026-01-19T12:00:00Z,12473,6071,67.26
2026-01-19T13:00:00Z,661730,16516,97.56
2026-01-19T14:00:00Z,41584,9436,81.51
2026-01-19T15:00:00Z,105709,25193,80.76
2026-01-19T16:00:00Z,2659281,706672,79.01
2026-01-19T17:00:00Z,167410,24601,87.19
2026-01-19T18:00:00Z,173038,30684,84.94
2026-01-19T19:00:00Z,179438,31177,85.20
2026-01-19T20:00:00Z,176336,31370,84.89
2026-01-19T21:00:00Z,177947,28930,86.02
2026-01-19T22:00:00Z,138641,22356,86.11
2026-01-19T23:00:00Z,133077,21540,86.07
2026-01-20T00:00:00Z,97133,16914,85.17
2026-01-20T01:00:00Z,70500,12960,84.47
2026-01-20T02:00:00Z,56649,11075,83.64
2026-01-20T03:00:00Z,47781,8528,84.86
2026-01-20T04:00:00Z,44495,8471,84.01
2026-01-20T05:00:00Z,35216,7561,82.33
2026-01-20T06:00:00Z,29542,7054,80.72
2026-01-20T07:00:00Z,500748,23870,95.45
2026-01-20T08:00:00Z,24068,6398,79.00
2026-01-20T09:00:00Z,32604,7848,80.60
2026-01-20T10:00:00Z,18197,6538,73.57
2026-01-20T11:00:00Z,27267,7276,78.94
2026-01-20T12:00:00Z,19781,7263,73.15
2026-01-20T13:00:00Z,679437,17240,97.53
2026-01-20T14:00:00Z,63108,11768,84.29
2026-01-20T15:00:00Z,182097,24174,88.28
2026-01-20T16:00:00Z,1358625,306832,81.57
2026-01-20T17:00:00Z,214635,26567,88.99
2026-01-20T18:00:00Z,179782,26814,87.02
2026-01-20T19:00:00Z,186413,28484,86.75
2026-01-20T20:00:00Z,204797,31222,86.78
2026-01-20T21:00:00Z,198479,27675,87.77
2026-01-20T22:00:00Z,138458,18804,88.04
2026-01-20T23:00:00Z,125200,17617,87.67
2026-01-21T00:00:00Z,90522,13652,86.90
2026-01-21T01:00:00Z,64871,11011,85.49